Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","216","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","12.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","488","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","36.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","987","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","59.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","379","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","24.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","1044","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","61.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","254","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","18.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","780","Fc","Donnée calculée"
