Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","511","Population totale","2501","Population","2012","2012","1000 personnes","29825","","Donnée officielle"
"FBS","Bilans Alimentaires","2","Afghanistan","511","Population totale","2501","Population","2013","2013","1000 personnes","30552","","Donnée officielle"
"FBS","Bilans Alimentaires","202","Afrique du Sud","511","Population totale","2501","Population","2012","2012","1000 personnes","52386","","Donnée officielle"
"FBS","Bilans Alimentaires","202","Afrique du Sud","511","Population totale","2501","Population","2013","2013","1000 personnes","52776","","Donnée officielle"
"FBS","Bilans Alimentaires","3","Albanie","511","Population totale","2501","Population","2012","2012","1000 personnes","3162","","Donnée officielle"
"FBS","Bilans Alimentaires","3","Albanie","511","Population totale","2501","Population","2013","2013","1000 personnes","3173","","Donnée officielle"
"FBS","Bilans Alimentaires","4","Algérie","511","Population totale","2501","Population","2012","2012","1000 personnes","38482","","Donnée officielle"
"FBS","Bilans Alimentaires","4","Algérie","511","Population totale","2501","Population","2013","2013","1000 personnes","39208","","Donnée officielle"
"FBS","Bilans Alimentaires","79","Allemagne","511","Population totale","2501","Population","2012","2012","1000 personnes","82800","","Donnée officielle"
"FBS","Bilans Alimentaires","79","Allemagne","511","Population totale","2501","Population","2013","2013","1000 personnes","82727","","Donnée officielle"
"FBS","Bilans Alimentaires","7","Angola","511","Population totale","2501","Population","2012","2012","1000 personnes","20821","","Donnée officielle"
"FBS","Bilans Alimentaires","7","Angola","511","Population totale","2501","Population","2013","2013","1000 personnes","21472","","Donnée officielle"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2012","2012","1000 personnes","89","","Donnée officielle"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2013","2013","1000 personnes","90","","Donnée officielle"
"FBS","Bilans Alimentaires","194","Arabie saoudite","511","Population totale","2501","Population","2012","2012","1000 personnes","28288","","Donnée officielle"
"FBS","Bilans Alimentaires","194","Arabie saoudite","511","Population totale","2501","Population","2013","2013","1000 personnes","28829","","Donnée officielle"
"FBS","Bilans Alimentaires","9","Argentine","511","Population totale","2501","Population","2012","2012","1000 personnes","41087","","Donnée officielle"
"FBS","Bilans Alimentaires","9","Argentine","511","Population totale","2501","Population","2013","2013","1000 personnes","41446","","Donnée officielle"
"FBS","Bilans Alimentaires","1","Arménie","511","Population totale","2501","Population","2012","2012","1000 personnes","2969","","Donnée officielle"
"FBS","Bilans Alimentaires","1","Arménie","511","Population totale","2501","Population","2013","2013","1000 personnes","2977","","Donnée officielle"
